Token	Repeticiones	#Documentos	IDF
lc	14	5	2.005181
lca	1	1	2.704151
lcar	1	1	2.704151
lcbo	1	1	2.704151
lcc	1	1	2.704151
lccc	1	1	2.704151
lccinc	2	2	2.403121
lccs	4	4	2.102091
lcha	2	2	2.403121
lci	2	1	2.704151
lclark	4	4	2.102091
lcmb	2	2	2.403121
lcn	1	1	2.704151
lcp	5	5	2.005181
lcs	19	7	1.859052
lcsc	4	4	2.102091
lcsi	2	1	2.704151
lcsileg	1	1	2.704151
lcsis	1	1	2.704151
lcstelens	1	1	2.704151
lcswma	35	4	2.102091
ld	36	13	1.590207
lda	3	2	2.403121
ldc	3	1	2.704151
lddel	1	1	2.704151
ldeni	1	1	2.704151
lderitette	1	1	2.704151
ldern	1	1	2.704151
ldet	3	2	2.403121
ldgo	1	1	2.704151
ldi	4	1	2.704151
ldihez	1	1	2.704151
ldk	1	1	2.704151
ldl	3	3	2.227029
ldmunk	1	1	2.704151
ldn	1	1	2.704151
ldns	1	1	2.704151
ldozatos	2	1	2.704151
ldozattal	1	1	2.704151
ldozunk	1	1	2.704151
ldpr	2	1	2.704151
ldr	2	2	2.403121
ldre	1	1	2.704151
lds	4	4	2.102091
ldsnet	1	1	2.704151
ldurv	1	1	2.704151
ldva	1	1	2.704151
ldve	1	1	2.704151
le	169	56	0.955962
leaa	1	1	2.704151
leach	13	11	1.662758
lead	50	34	1.172672
leadbelt	1	1	2.704151
leadbetter	1	1	2.704151
leader	85	47	1.032053
leaderof	1	1	2.704151
leaders	82	50	1.005181
leadership	72	26	1.289177
leaderships	1	1	2.704151
leadgroup	1	1	2.704151
leading	132	83	0.785072
leads	13	10	1.704151
leadto	1	1	2.704151
leaf	3	3	2.227029
leaflets	1	1	2.704151
leafy	1	1	2.704151
league	19	9	1.749908
leah	2	2	2.403121
leahy	21	16	1.500031
leak	1	1	2.704151
leakadt	1	1	2.704151
leakasztotta	1	1	2.704151
leaking	5	3	2.227029
leaks	4	3	2.227029
leaky	1	1	2.704151
lealacsony	3	1	2.704151
leallitasara	1	1	2.704151
leallitja	1	1	2.704151
leallitjak	1	1	2.704151
leallitottaaz	1	1	2.704151
leallt	1	1	2.704151
lean	2	1	2.704151
leaned	1	1	2.704151
leanyainak	1	1	2.704151
leanyokra	1	1	2.704151
leap	3	1	2.704151
leaps	1	1	2.704151
lear	37	5	2.005181
learatja	1	1	2.704151
learn	38	26	1.289177
learned	12	12	1.624969
learner	6	2	2.403121
learners	8	2	2.403121
learning	129	28	1.256992
learnings	1	1	2.704151
learnkey	1	1	2.704151
learnlink	1	1	2.704151
learns	2	2	2.403121
leartners	1	1	2.704151
leary	4	2	2.403121
lease	47	7	1.859052
leased	4	4	2.102091
leases	8	4	2.102091
leasing	20	4	2.102091
least	81	42	1.080901
leath	7	7	1.859052
leather	1	1	2.704151
leave	55	19	1.425397
leaveinterferencezone	1	1	2.704151
leaves	21	17	1.473702
leaving	20	17	1.473702
leavitt	1	1	2.704151
leb	3	3	2.227029
leba	5	5	2.005181
leballagtak	1	1	2.704151
lebanon	11	7	1.859052
lebed	154	17	1.473702
lebedia	1	1	2.704151
lebegett	1	1	2.704151
lebegni	1	1	2.704151
lebegy	7	5	2.005181
lebegyek	1	1	2.704151
lebenithassa	1	1	2.704151
lebenithatatlanul	1	1	2.704151
lebenitjak	1	1	2.704151
lebenitott	1	1	2.704151
lebenitotta	1	1	2.704151
lebilincseltek	1	1	2.704151
leblokkolasaban	1	1	2.704151
leblokkoltakegyes	1	1	2.704151
lebontasanak	1	1	2.704151
lebontasat	1	1	2.704151
lebontjakhazaikat	1	1	2.704151
lebontottak	1	1	2.704151
lebontva	1	1	2.704151
lebonyolitani	1	1	2.704151
lebonyolitasa	1	1	2.704151
lebonyolitasaba	1	1	2.704151
lebonyolitasaban	1	1	2.704151
lebonyolitasahoz	1	1	2.704151
lebonyolitasara	2	2	2.403121
lebonyolitott	1	1	2.704151
leboutillier	2	2	2.403121
lebovitz	1	1	2.704151
leboyer	2	1	2.704151
lebuktatni	2	2	2.403121
lebuktatott	1	1	2.704151
lecarre	1	1	2.704151
lech	3	3	2.227029
leckenek	1	1	2.704151
lecket	1	1	2.704151
leckezteti	1	1	2.704151
lecs	1	1	2.704151
lecsap	1	1	2.704151
lecsapodasat	2	1	2.704151
lecser	1	1	2.704151
lecsokkentheti	1	1	2.704151
lecsukjak	1	1	2.704151
lecsuszik	1	1	2.704151
lecsuszo	4	3	2.227029
lecsuszott	2	2	2.403121
lectura	1	1	2.704151
lecture	3	2	2.403121
lectured	3	1	2.704151
lecturer	4	2	2.403121
lectures	2	2	2.403121
led	55	40	1.102091
ledaralasanakvirtuozitasa	1	1	2.704151
lederer	4	4	2.102091
lednota	1	1	2.704151
ledobta	1	1	2.704151
ledolgoz	1	1	2.704151
ledolgozott	1	1	2.704151
lee	17	13	1.590207
leeca	2	2	2.403121
leeds	4	4	2.102091
leegyertelmuen	1	1	2.704151
leegyszerusitette	1	1	2.704151
leehills	3	3	2.227029
leelni	1	1	2.704151
leend	4	2	2.403121
leendo	2	2	2.403121
leendoex	1	1	2.704151
leepitendo	1	1	2.704151
leepitene	1	1	2.704151
leepiteni	2	1	2.704151
leepitese	4	2	2.403121
leepitesekrol	1	1	2.704151
leepitesenek	1	1	2.704151
leepiteset	2	2	2.403121
leepitesevel	1	1	2.704151
leepitest	1	1	2.704151
leepiti	1	1	2.704151
leepul	1	1	2.704151
leepules	1	1	2.704151
leepuleset	1	1	2.704151
leertekeles	1	1	2.704151
leertekelese	2	2	2.403121
leertekelesi	1	1	2.704151
leertekelt	2	1	2.704151
leesburg	3	3	2.227029
leesummit	1	1	2.704151
leetmaa	1	1	2.704151
leeuwarden	2	2	2.403121
leeward	3	1	2.704151
leeway	1	1	2.704151
lefaragasaval	1	1	2.704151
lefaragjak	1	1	2.704151
lefaragni	1	1	2.704151
lefaragta	1	1	2.704151
lefasisztaznizri	1	1	2.704151
lefebvre	1	1	2.704151
lefedni	1	1	2.704151
lefejeznek	1	1	2.704151
lefektetett	2	2	2.403121
lefekteti	1	1	2.704151
lefektetni	1	1	2.704151
lefele	2	2	2.403121
lefelezte	1	1	2.704151
lefeszitettek	1	1	2.704151
lefetyelest	1	1	2.704151
lefilmezze	1	1	2.704151
lefizeti	1	1	2.704151
lefizetni	1	1	2.704151
lefm	47	1	2.704151
lefogjak	1	1	2.704151
lefoglalasok	1	1	2.704151
lefoglalt	1	1	2.704151
lefoglaltak	1	1	2.704151
lefognak	1	1	2.704151
lefogottak	1	1	2.704151
lefokozasa	1	1	2.704151
lefokozni	1	1	2.704151
lefolytatasara	1	1	2.704151
lefolytatnanak	1	1	2.704151
leforditani	2	2	2.403121
leforditjak	1	1	2.704151
lefoszlik	1	1	2.704151
left	89	45	1.050938
leftbloc	1	1	2.704151
leftist	1	1	2.704151
leftists	1	1	2.704151
leftovers	1	1	2.704151
lefutjak	1	1	2.704151
lefutva	1	1	2.704151
leg	42	19	1.425397
legacy	3	3	2.227029
legadazabb	2	2	2.403121
legado	1	1	2.704151
legal	322	82	0.790337
legalabb	67	33	1.185637
legalabbegy	1	1	2.704151
legalabbis	13	8	1.801061
legalabbismunkavallaloi	1	1	2.704151
legalabbisnem	1	1	2.704151
legalabbkerek	1	1	2.704151
legalacsonyabb	6	5	2.005181
legalacsonyabbak	1	1	2.704151
legalapvet	2	1	2.704151
legalapvetobb	7	6	1.925999
legales	5	2	2.403121
legalforce	1	1	2.704151
legalis	9	5	2.005181
legalisan	1	1	2.704151
legalities	1	1	2.704151
legality	8	7	1.859052
legalizalasa	2	1	2.704151
legalizalni	1	1	2.704151
legalization	13	4	2.102091
legalize	1	1	2.704151
legalized	4	3	2.227029
legaljasabb	2	1	2.704151
legalkalmasabb	1	1	2.704151
legally	20	11	1.662758
legalso	1	1	2.704151
legatees	1	1	2.704151
legbarb	1	1	2.704151
legbefolyasosabb	1	1	2.704151
legbolcsebb	1	1	2.704151
legbolkapottabb	1	1	2.704151
legcsavaros	1	1	2.704151
legd	1	1	2.704151
legdemokratikusabb	1	1	2.704151
legdivatosabb	1	1	2.704151
legdobbenetesebb	1	1	2.704151
legdragabb	1	1	2.704151
legdurvabb	1	1	2.704151
legeklatansabb	1	1	2.704151
legelejen	2	1	2.704151
legelesebben	1	1	2.704151
legelesettebb	1	1	2.704151
legelni	1	1	2.704151
legelo	2	1	2.704151
legelok	2	1	2.704151
legeloket	1	1	2.704151
legelon	1	1	2.704151
legelore	1	1	2.704151
legeloszor	2	2	2.403121
legelot	4	1	2.704151
legelso	1	1	2.704151
legeltet	1	1	2.704151
legend	16	12	1.624969
legendagyartas	1	1	2.704151
legendary	6	6	1.925999
legendas	2	2	2.403121
legends	3	3	2.227029
legent	2	2	2.403121
legenynek	1	1	2.704151
legerosebb	3	3	2.227029
legertekesebb	4	3	2.227029
legerzekenyebb	1	1	2.704151
legeselyesebb	1	1	2.704151
legesszerubb	1	1	2.704151
leget	1	1	2.704151
legexkluzivabb	1	1	2.704151
legf	7	2	2.403121
legfajdalmasabb	1	1	2.704151
legfejlettebb	3	2	2.403121
legfeljebb	21	15	1.528059
legfeljebbugy	1	1	2.704151
legfeljlettebb	1	1	2.704151
legfelso	4	4	2.102091
legfelsobb	9	7	1.859052
legfelsobbszintjet	1	1	2.704151
legfenyegetobb	2	1	2.704151
legfiatalabb	1	1	2.704151
legfobb	25	17	1.473702
legfokeppen	2	2	2.403121
legfoljebb	3	3	2.227029
legfontosabb	32	19	1.425397
legfontosabbc	1	1	2.704151
legfontosabbikat	1	1	2.704151
legfontosabbjait	1	1	2.704151
legfontosabbnakkutatasai	1	1	2.704151
legfrissebb	5	4	2.102091
leggazdagabb	2	2	2.403121
legget	6	6	1.925999
leggomberegetesnek	1	1	2.704151
leggombjet	1	1	2.704151
leggompukkasztas	1	1	2.704151
leggy	1	1	2.704151
leggyalazatosabb	1	1	2.704151
leggyeng	1	1	2.704151
leggyengebb	2	2	2.403121
leggyorsabb	1	1	2.704151
leggyorsabban	2	2	2.403121
legh	1	1	2.704151
leghamarabb	1	1	2.704151
leghangosabb	2	1	2.704151
legharcosabb	1	1	2.704151
legharmonikusabban	1	1	2.704151
leghat	4	2	2.403121
leghatarozottabban	2	2	2.403121
leghatasosabban	1	1	2.704151
leghatekonyabb	1	1	2.704151
leghatekonyabban	1	1	2.704151
leghevesebben	1	1	2.704151
leghiresebb	1	1	2.704151
leghosiesebben	1	1	2.704151
legi	2	2	2.403121
legibazisan	1	1	2.704151
legidegenebbnek	1	1	2.704151
legidosebb	1	1	2.704151
legiero	2	1	2.704151
legigyakorlat	1	1	2.704151
legijarmuvet	1	1	2.704151
legikatasztrofaaldozatainak	1	1	2.704151
legimate	1	1	2.704151
legink	1	1	2.704151
leginkabb	8	8	1.801061
legionary	2	1	2.704151
legipostai	1	1	2.704151
legipostaval	1	1	2.704151
legis	2	2	2.403121
legislaci	2	1	2.704151
legislaion	1	1	2.704151
legislation	97	39	1.113086
legislative	41	24	1.323939
legislativos	1	1	2.704151
legislators	4	4	2.102091
legislature	11	7	1.859052
legislatures	4	4	2.102091
legismertebb	1	1	2.704151
legismertebbkepviselojenek	1	1	2.704151
legitarsasag	1	1	2.704151
legitim	1	1	2.704151
legitimacy	1	1	2.704151
legitimate	17	13	1.590207
legitimately	2	2	2.403121
legjelentosebb	1	1	2.704151
legjelesebb	1	1	2.704151
legjobb	21	13	1.590207
legjobbak	1	1	2.704151
legjobban	11	8	1.801061
legjobbanpenzhez	1	1	2.704151
legjovedelmezobb	1	1	2.704151
legk	2	2	2.403121
legkedveltebb	1	1	2.704151
legkedvesebb	1	1	2.704151
legkedvesebbjeiket	1	1	2.704151
legkedvezobberedmenyeket	1	1	2.704151
legkedvezotlenebbul	1	1	2.704151
legkegyetlenebbul	1	1	2.704151
legkem	1	1	2.704151
legkemenyebb	2	2	2.403121
legkemenyebbpolitikai	1	1	2.704151
legkenyesebb	1	1	2.704151
legkesobb	6	5	2.005181
legkev	1	1	2.704151
legkevesbe	2	2	2.403121
legkevesebb	3	3	2.227029
legkisebb	2	2	2.403121
legkomolyabb	2	2	2.403121
legkonnyebben	2	2	2.403121
legkor	1	1	2.704151
legkorabban	3	3	2.227029
legkoret	2	2	2.403121
legkorrel	1	1	2.704151
legkorruptabb	2	2	2.403121
legkozelebb	1	1	2.704151
legkozelebbi	1	1	2.704151
legl	1	1	2.704151
leglassubb	2	2	2.403121
leglelkesebb	1	1	2.704151
leglenyegesebb	3	2	2.403121
legmagasabb	5	5	2.005181
legmagasabbfoka	1	1	2.704151
legmesszebb	1	1	2.704151
legminimialisabb	1	1	2.704151
legmostohabb	1	1	2.704151
legnagyob	1	1	2.704151
legnagyobb	74	33	1.185637
legnagyobbcinizmussal	1	1	2.704151
legnagyobbkedvezmeny	1	1	2.704151
legnagyobbkedvezmenyt	1	1	2.704151
legnagyobbmertekben	1	1	2.704151
legnagyobbpeldanyszamu	1	1	2.704151
legnep	1	1	2.704151
legnepszerubb	2	1	2.704151
lego	2	1	2.704151
legocsmanyabb	1	1	2.704151
legoinformation	1	1	2.704151
legokosabb	1	1	2.704151
legolvasottabb	1	1	2.704151
legowww	1	1	2.704151
legparanyibbismerveit	1	1	2.704151
legpiszkosabb	1	1	2.704151
legrangosabb	2	2	2.403121
legregibb	1	1	2.704151
legritkabbak	1	1	2.704151
legrosszabb	8	6	1.925999
legrosszabbak	1	1	2.704151
legrosszabbat	1	1	2.704151
legrovidebb	2	2	2.403121
legs	10	6	1.925999
legsulyosabb	2	2	2.403121
legsulyosabbserelmukkent	1	1	2.704151
legsunyibb	1	1	2.704151
legsz	1	1	2.704151
legszebb	1	1	2.704151
legszebbrendeltetese	1	1	2.704151
legszegenyebbek	2	1	2.704151
legszelesebb	1	1	2.704151
legszentebb	1	1	2.704151
legszolgaibb	1	1	2.704151
legszornyubb	1	1	2.704151
legszorosabb	1	1	2.704151
legt	1	1	2.704151
legtala	1	1	2.704151
legtapasztaltabb	1	1	2.704151
legteljesebbe	1	1	2.704151
legterbol	2	1	2.704151
legterebol	1	1	2.704151
legtermeszetesebb	1	1	2.704151
legtetemesebb	1	1	2.704151
legtisztabban	1	1	2.704151
legtiszteletrem	1	1	2.704151
legtobb	17	12	1.624969
legtobbennem	1	1	2.704151
legtobbet	5	4	2.102091
legtobbjen	1	1	2.704151
legtobbjuk	1	1	2.704151
legtobbnyelvetol	1	1	2.704151
legtobbre	1	1	2.704151
legtobbszor	3	3	2.227029
legtobbszormegvaltoi	1	1	2.704151
legtokeerosebb	1	1	2.704151
leguin	1	1	2.704151
legujabb	24	18	1.448878
legujabban	1	1	2.704151
legujabbhazugsagmestermuve	1	1	2.704151
legujabbkozvelemeny	1	1	2.704151
legumes	1	1	2.704151
legures	1	1	2.704151
legut	1	1	2.704151
legutobb	9	9	1.749908
legutobbi	13	9	1.749908
legutobbifejezeteben	1	1	2.704151
legutobbivalasztas	1	1	2.704151
legutobbiverseskotete	1	1	2.704151
legutolso	1	1	2.704151
legval	1	1	2.704151
legvaloszinubb	1	1	2.704151
legvarat	1	1	2.704151
legvegen	1	1	2.704151
legvegso	1	1	2.704151
legversenykepesebb	1	1	2.704151
legvidamabb	1	1	2.704151
legvisszataszitobb	1	1	2.704151
legvitatottabb	1	1	2.704151
legvonz	1	1	2.704151
legy	1	1	2.704151
legyek	1	1	2.704151
legyen	68	30	1.227029
legyenek	13	8	1.801061
legyenekalternativai	1	1	2.704151
legyetek	1	1	2.704151
legyintett	1	1	2.704151
legyottokhoz	1	1	2.704151
legyozesere	1	1	2.704151
legyozhetetlenne	1	1	2.704151
legyozore	1	1	2.704151
legyozottek	1	1	2.704151
legyozottkent	1	1	2.704151
legyozte	5	3	2.227029
legyoztek	1	1	2.704151
legyunk	8	8	1.801061
legzet	1	1	2.704151
leh	5	5	2.005181
lehallgatas	1	1	2.704151
lehallgatottszemellyel	1	1	2.704151
lehangolo	1	1	2.704151
lehanyatlik	1	1	2.704151
leharapta	1	1	2.704151
leharcolt	1	1	2.704151
lehasitani	1	1	2.704151
lehazudjak	1	1	2.704151
lehessek	1	1	2.704151
lehessen	10	9	1.749908
lehessenek	1	1	2.704151
lehessenellenuk	1	1	2.704151
lehessentekinteni	1	1	2.704151
lehessunk	1	1	2.704151
lehet	323	42	1.080901
leheta	1	1	2.704151
lehetallapitani	1	1	2.704151
lehetbelole	1	1	2.704151
lehetcsinalni	1	1	2.704151
lehetek	1	1	2.704151
lehetekertekes	1	1	2.704151
lehetetlen	13	11	1.662758
lehetetlenn	1	1	2.704151
lehetetlenne	8	8	1.801061
lehetett	26	16	1.500031
lehetjatszadozni	1	1	2.704151
lehetkizarolag	1	1	2.704151
lehetmajd	1	1	2.704151
lehetmegteremteni	1	1	2.704151
lehetn	1	1	2.704151
lehetnato	1	1	2.704151
lehetne	28	21	1.381931
lehetneezt	1	1	2.704151
lehetneinditani	1	1	2.704151
lehetnek	8	6	1.925999
lehetnemegoldani	1	1	2.704151
lehetnenek	2	2	2.403121
leheto	5	5	2.005181
lehetoleg	3	3	2.227029
lehetolegszorosabb	1	1	2.704151
lehetomodon	1	1	2.704151
lehetoseg	16	12	1.624969
lehetosege	10	9	1.749908
lehetosegei	7	6	1.925999
lehetosegeiben	2	1	2.704151
lehetosegeikhez	1	1	2.704151
lehetosegeink	1	1	2.704151
lehetosegeit	3	3	2.227029
lehetosegeitbeszukitettek	1	1	2.704151
lehetosegeivel	1	1	2.704151
lehetosegek	7	5	2.005181
lehetosegeket	7	5	2.005181
lehetosegekkel	2	2	2.403121
lehetosegekrol	1	1	2.704151
lehetosegem	1	1	2.704151
lehetosegerol	1	1	2.704151
lehetoseget	41	22	1.361728
lehetosegeta	1	1	2.704151
lehetosegetol	1	1	2.704151
lehetosegetvalamelyik	1	1	2.704151
lehetosegevel	2	2	2.403121
lehetoseggel	1	1	2.704151
lehetosegre	1	1	2.704151
lehetosegrol	2	2	2.403121
lehetoseguek	1	1	2.704151
lehetoseguk	1	1	2.704151
lehetot	1	1	2.704151
lehetove	21	13	1.590207
lehetovetennek	1	1	2.704151
lehetoveteszi	1	1	2.704151
lehetovetevo	1	1	2.704151
lehets	6	2	2.403121
lehetsege	1	1	2.704151
lehetseges	28	19	1.425397
lehetsegesket	1	1	2.704151
lehetsegesnek	3	3	2.227029
lehetsz	1	1	2.704151
lehettamogatni	1	1	2.704151
lehettek	1	1	2.704151
lehetvegezni	1	1	2.704151
lehigh	13	5	2.005181
lehivasara	1	1	2.704151
lehivhato	2	1	2.704151
lehmab	1	1	2.704151
lehman	23	18	1.448878
lehoczky	1	1	2.704151
lehozta	2	2	2.403121
lehoztak	2	2	2.403121
lehrer	2	2	2.403121
lehullott	2	2	2.403121
lei	7	4	2.102091
leibniz	2	1	2.704151
leicester	4	1	2.704151
leicestershire	5	1	2.704151
leics	1	1	2.704151
leiden	5	5	2.005181
leidenuniv	8	5	2.005181
leig	1	1	2.704151
leigazasara	1	1	2.704151
leigh	1	1	2.704151
leighton	2	2	2.403121
lein	1	1	2.704151
leininger	2	1	2.704151
leinket	1	1	2.704151
leipzig	1	1	2.704151
leirasa	1	1	2.704151
leirasra	1	1	2.704151
leirast	1	1	2.704151
leirja	1	1	2.704151
leirni	3	3	2.227029
leiro	1	1	2.704151
leirt	6	4	2.102091
leirta	2	2	2.403121
leirtam	1	1	2.704151
leissner	1	1	2.704151
leisur	2	2	2.403121
leisure	19	6	1.925999
leit	1	1	2.704151
leitner	1	1	2.704151
leitzke	1	1	2.704151
lej	1	1	2.704151
lejambp	1	1	2.704151
lejar	3	3	2.227029
lejarat	2	1	2.704151
lejaratasa	1	1	2.704151
lejarati	1	1	2.704151
lejaratja	1	1	2.704151
lejaratni	1	1	2.704151
lejaratniigyekvo	1	1	2.704151
lejarato	1	1	2.704151
lejarattal	1	1	2.704151
lejaratu	1	1	2.704151
lejaro	2	2	2.403121
lejart	3	3	2.227029
lejarta	3	3	2.227029
lejartaig	2	2	2.403121
lejartakor	1	1	2.704151
lejartaval	1	1	2.704151
lejatszodott	2	2	2.403121
lejjebb	3	3	2.227029
lejjebbcsuszunk	1	1	2.704151
lejmolmeg	1	1	2.704151
lejonet	1	1	2.704151
lejtore	1	1	2.704151
lek	3	3	2.227029
lekachma	1	1	2.704151
lekanyaritotta	1	1	2.704151
lekben	1	1	2.704151
lekerul	1	1	2.704151
lekezeloen	1	1	2.704151
lekopi	2	1	2.704151
lekoszont	1	1	2.704151
lekozolni	1	1	2.704151
lekozolt	1	1	2.704151
lekozoltek	1	1	2.704151
lekuzdeseben	1	1	2.704151
leland	9	9	1.749908
lelatok	1	1	2.704151
lelegezze	1	1	2.704151
lelegzetem	1	1	2.704151
lelegzetveteli	1	1	2.704151
lelegzetvetelnyi	1	1	2.704151
lelek	8	3	2.227029
lelekben	2	1	2.704151
lelekeles	1	1	2.704151
lelekgyogyaszokszerint	1	1	2.704151
lelekrontasa	1	1	2.704151
lelekszamot	1	1	2.704151
lelekszamra	2	1	2.704151
lelekszamu	2	2	2.403121
lelekszamunk	1	1	2.704151
lelektani	3	2	2.403121
lelekzetre	1	1	2.704151
lelem	2	2	2.403121
leleplezend	1	1	2.704151
leleplezesben	1	1	2.704151
leleplezese	3	2	2.403121
leleplezesek	1	1	2.704151
leleplezesenek	1	1	2.704151
leleplezeset	1	1	2.704151
leleplezessel	1	1	2.704151
leleplezest	1	1	2.704151
leleplezett	1	1	2.704151
leleplezhetnek	1	1	2.704151
leleplezhettuk	1	1	2.704151
leleplezi	2	2	2.403121
lelepleznek	1	1	2.704151
leleplezo	1	1	2.704151
leleplezodik	1	1	2.704151
leleplezte	1	1	2.704151
lelepleztekmagukat	1	1	2.704151
lelhetik	1	1	2.704151
lelheto	1	1	2.704151
leli	1	1	2.704151
lelke	3	3	2.227029
lelkeben	1	1	2.704151
lelkeinket	1	1	2.704151
lelkek	1	1	2.704151
lelkendezes	1	1	2.704151
lelkes	2	1	2.704151
lelkesedes	6	3	2.227029
lelkesedessel	1	1	2.704151
lelkesedjunk	1	1	2.704151
lelkesednek	1	1	2.704151
lelkesedtek	1	1	2.704151
lelkesen	3	3	2.227029
lelkesz	2	2	2.403121
lelkesze	1	1	2.704151
lelkeszeihez	2	1	2.704151
lelkeszek	1	1	2.704151
lelkeszevel	1	1	2.704151
lelkeszi	1	1	2.704151
lelkeszihivatalt	1	1	2.704151
lelket	1	1	2.704151
lelki	12	9	1.749908
lelkiallapota	1	1	2.704151
lelkiismeret	1	1	2.704151
lelkiismeretekent	1	1	2.704151
lelkiismereti	3	2	2.403121
lelkiismerettel	1	1	2.704151
lelkiismeretuk	1	1	2.704151
lelkileg	1	1	2.704151
lelkipasztor	1	1	2.704151
lelkipasztori	2	1	2.704151
lelkis	1	1	2.704151
lelku	1	1	2.704151
lelkuenkben	1	1	2.704151
lelkulettel	1	1	2.704151
lelkunk	1	1	2.704151
lelkunknek	1	1	2.704151
lelkunkon	1	1	2.704151
lellenz	1	1	2.704151
lelmeinek	1	1	2.704151
lelmek	1	1	2.704151
lelmeknek	1	1	2.704151
lelmet	1	1	2.704151
lelotte	1	1	2.704151
lelovesebe	1	1	2.704151
lelovik	1	1	2.704151
leltart	1	1	2.704151
leltek	1	1	2.704151
lelve	1	1	2.704151
lelystad	1	1	2.704151
lem	19	3	2.227029
lemans	1	1	2.704151
lemaradas	1	1	2.704151
lemaradasukat	1	1	2.704151
lemaradasunk	1	1	2.704151
lemaradottsag	1	1	2.704151
lemaradtunk	1	1	2.704151
lemaradva	1	1	2.704151
lemean	1	1	2.704151
lemenni	1	1	2.704151
lemennyilv	1	1	2.704151
lemeszarlasuk	1	1	2.704151
lemlitik	1	1	2.704151
lemmon	1	1	2.704151
lemon	16	3	2.227029
lemond	4	3	2.227029
lemondana	1	1	2.704151
lemondanak	1	1	2.704151
lemondani	6	5	2.005181
lemondania	1	1	2.704151
lemondanunk	1	1	2.704151
lemondas	1	1	2.704151
lemondasa	3	3	2.227029
lemondasahoz	1	1	2.704151
lemondasat	1	1	2.704151
lemondasok	1	1	2.704151
lemondasrol	1	1	2.704151
lemondast	2	2	2.403121
lemondatott	1	1	2.704151
lemondatta	1	1	2.704151
lemondjelenlegi	1	1	2.704151
lemondjon	1	1	2.704151
lemondok	2	1	2.704151
lemondott	13	10	1.704151
lemondotta	1	1	2.704151
lemondottvilagkiallitasrol	1	1	2.704151
lemondta	4	3	2.227029
lemondtam	1	1	2.704151
lemondtunk	1	1	2.704151
lemonhungary	1	1	2.704151
lemons	1	1	2.704151
lemonslovak	1	1	2.704151
lemonweir	3	3	2.227029
lemoshatatlanul	2	2	2.403121
lemoyne	2	2	2.403121
lemwerder	1	1	2.704151
len	3	3	2.227029
lena	4	2	2.403121
lender	11	2	2.403121
lenders	3	2	2.403121
lending	4	4	2.102091
lenditette	1	1	2.704151
lends	3	3	2.227029
lendulete	1	1	2.704151
lenduletet	2	2	2.403121
lendult	1	1	2.704151
lendvai	1	1	2.704151
lenegyedelte	1	1	2.704151
lenendary	1	1	2.704151
lenet	2	2	2.403121
leneveltek	1	1	2.704151
lenexa	1	1	2.704151
lenezeset	1	1	2.704151
lenezett	1	1	2.704151
lenfolyamatos	1	1	2.704151
length	29	14	1.558022
lengthen	2	2	2.403121
lengths	3	2	2.403121
lengthy	3	3	2.227029
lengyel	21	12	1.624969
lengyelek	5	4	2.102091
lengyelekkel	1	1	2.704151
lengyelo	1	1	2.704151
lengyelooszagnak	1	1	2.704151
lengyelorsz	1	1	2.704151
lengyelorszag	17	9	1.749908
lengyelorszagba	1	1	2.704151
lengyelorszagban	1	1	2.704151
lengyelorszaggal	2	2	2.403121
lengyelorszagi	5	4	2.102091
lengyelorszagit	1	1	2.704151
lengyelorszagot	2	2	2.403121
lengyelorszagra	1	1	2.704151
leniency	2	2	2.403121
lenient	1	1	2.704151
lenin	12	8	1.801061
lenini	2	2	2.403121
leninism	1	1	2.704151
leninist	1	1	2.704151
leninista	1	1	2.704151
leninsky	1	1	2.704151
lenke	1	1	2.704151
lenn	1	1	2.704151
lenne	140	40	1.102091
lennedonto	1	1	2.704151
lennek	2	2	2.403121
lennekmeglepve	1	1	2.704151
lennenek	12	10	1.704151
lennenekbisexualis	1	1	2.704151
lennenk	3	3	2.227029
lennenuklearis	1	1	2.704151
lenni	31	17	1.473702
lennie	7	7	1.859052
lenniuk	2	2	2.403121
lennon	5	4	2.102091
lenoir	1	1	2.704151
lens	3	1	2.704151
lensfield	1	1	2.704151
lent	17	17	1.473702
leny	3	3	2.227029
lenyeg	10	4	2.102091
lenyege	6	6	1.925999
lenyegeben	13	12	1.624969
lenyegebenaz	1	1	2.704151
lenyeges	8	8	1.801061
lenyegesebb	1	1	2.704151
lenyegesen	7	7	1.859052
lenyegesreszeit	1	1	2.704151
lenyeget	8	6	1.925999
lenyegi	4	3	2.227029
lenyegre	1	1	2.704151
lenyel	1	1	2.704151
lenyelni	1	1	2.704151
lenyt	1	1	2.704151
lenyugszik	2	1	2.704151
lenyulva	1	1	2.704151
lenyuzni	1	1	2.704151
leo	76	25	1.306211
leolvadvan	1	1	2.704151
leomlott	1	1	2.704151
leon	27	15	1.528059
leonard	2	2	2.403121
leonardo	5	5	2.005181
leones	1	1	2.704151
leonid	6	5	2.005181
leonidkuchma	1	1	2.704151
leontev	2	1	2.704151
leontieff	1	1	2.704151
leontott	1	1	2.704151
leonyid	1	1	2.704151
leopold	3	2	2.403121
leos	1	1	2.704151
lep	9	8	1.801061
lepattantak	1	1	2.704151
lepcsoben	1	1	2.704151
lepcsoinel	2	1	2.704151
lepcsojen	3	2	2.403121
lepcsos	1	1	2.704151
lepecsetelnek	1	1	2.704151
lepedot	1	1	2.704151
lepek	1	1	2.704151
