Token	Repeticiones	#Documentos
lemondasa	2	2
feltetelezett	2	2
hozottvolna	1	1
mia	1	1
albizottsagokat	1	1
penzrol	1	1
maskeppennem	1	1
financialis	2	2
eveskoltsegvetesben	1	1
volnaa	1	1
volt100	1	1
millioval	1	1
100millioval	1	1
785millio	1	1
kolthettunk	1	1
kolthetunk	1	1
aprogramoknak	1	1
programoktamogatasara	1	1
forditottunk	1	1
zomekulturalis	1	1
magyaroknak	3	3
magyaroknegyedik	1	1
vilagkongresszusa	1	1
jelentosegeben	1	1
tudosokat	1	1
osszehozo	1	1
erdeklodesre	3	2
osei	1	1
revenitt	1	1
mari	5	2
nenit	2	2
neninek	1	1
szabadteri	1	1
azopusztaszeri	1	1
emlekbizottsag	2	1
hogymindenki	1	1
lassa	1	1
tarsasagtolkell	1	1
tamogatassal	1	1
ponta	1	1
emeljek	2	2
erdemben	3	3
befolyasolni	1	1
szamunkraadott	1	1
osszegeket	1	1
nemzetimuzeum	1	1
idoszaki	1	1
kiallitasa	1	1
alatogatocsoportok	1	1
kedvezmenyt	2	2
belepo	1	1
bucsu	1	1
afesztivalzenekar	1	1
eloben	2	1
eloadja	1	1
requiemjet	1	1
esehhez	1	1
kapcsolodik	3	3
felujitott	1	1
tenor	1	1
plusz	8	5
rosses	1	1
rost	1	1
andrea	1	1
luciano	1	1
idoegyeztetesi	1	1
oriasiaka	1	1
koncertet	1	1
tucatnyitevetarsasag	1	1
jellegzetes	1	1
896	1	1
ezereves	2	2
evfordulo	1	1
sorozatjelent	1	1
emese	1	1
enciklopedia	1	1
humana	1	1
tudtunk	4	2
ezeljut	1	1
eljuttatni	2	2
elek	3	3
wieselrolszolo	1	1
koltsegvetesnek	3	3
tisztsegviselokkel	1	1
esen	1	1
zalan	1	1
valamihasonlo	1	1
temat	1	1
finansziroznakegy	1	1
filmterv	1	1
beremenyi	1	1
forgatasa	1	1
megnagyon	1	1
visszaterve	3	3
kristo	1	1
szegeditorteneszprofesszor	1	1
tanulmanykotete	1	1
regeszprofesszor	1	1
konyveugyanerrol	1	1
hitvilaga	1	1
andrasnak	1	1
honfoglalaskori	1	1
mindegyike	2	2
tamogattuk	1	1
megjelenikmeg	1	1
frei	2	1
akit	15	10
megkerdezte	1	1
karolytol	1	1
irantitiszteletbol	1	1
kerdezzem	1	1
mertfel	1	1
szinesfelvonulasokat	1	1
ellenemre	1	1
liberalisabb	1	1
mondatot	2	1
hankissprofesszor	1	1
nemetul	2	2
allapotba	1	1
idegenkednek	1	1
fejezzem	1	1
belep	1	1
kormanytisztviselo	1	1
otta	1	1
irodaibana	1	1
peresz	2	2
feltucatizraeli	1	1
nemigy	1	1
megunneplesenek	1	1
zaszlot	2	1
hianyolhatnam	1	1
lennie	3	3
enesetemben	1	1
veletlenszeruen	2	2
nemjutott	1	1
teveinterjubanolykor	1	1
latok	1	1
helyisegben	1	1
olyanirodaban	1	1
titkarsaga	2	2
megbizasos	1	1
jogviszony	1	1
nemvagyunk	1	1
felotlott	1	1
kellismernem	1	1
eszemben	1	1
tortenetiosszefuggesei	1	1
palyazatot	6	4
kiirni	2	1
ezenellenerzesek	1	1
okainak	1	1
ellentmondasos	2	2
tanulmanyok	2	2
azttudom	1	1
felhasznalhato	1	1
megkoronazasanak	1	1
evfordulojaratorteno	1	1
kigondoltak	1	1
tisztaba	1	1
sajnosnagyon	1	1
ilyenfajta	1	1
mozgalomis	1	1
termeszetbuvarszovetseg	1	1
kicsi	1	1
mierrol	1	1
kilepnek	1	1
tudtunkvolna	1	1
kezdemenyezes	1	1
tarsadalmiegyesulesek	1	1
kerteszetek	1	1
kertbaratok	1	1
egyesuletenekkezdemenyezesere	1	1
akciot	2	2
1995es	1	1
telepulesen	2	2
ultetnenek	1	1
fa	1	1
elultetesere	1	1
martonvasaron	1	1
felkarolta	1	1
elultethettem	1	1
kezdemenyezik	1	1
vetelkedokrolvan	1	1
telepulesek	1	1
hazak	6	4
kezdemenyezeseket	1	1
kisdiak	1	1
ujsagot	1	1
ilyeneketnem	1	1
felulrol	2	2
felesegem	2	2
szakkozepiskolaban	1	1
adiakok	1	1
lelkeben	1	1
atjon	1	1
koszonom	3	2
idejet	1	1
megosztotta	2	2
szerette	1	1
megkapni	1	1
tamogatasok	2	2
jegyzeket	1	1
atamogatas	1	1
alistat	1	1
rendelkezesunkre	1	1
interju	5	3
elkeszitesenek	1	1
lakossaganak	5	5
4szazaleka	1	1
latogat	1	1
kozpontirendezvenyt	1	1
828	1	1
valaszado	1	1
unnepet	1	1
jelentosegunek	1	1
csupan28	1	1
interjuban	2	2
idegenkednekmagyarorszagon	1	1
allamisag	1	1
ezennelmost	1	1
temaban	1	1
gepelt	1	1
oldalnal	1	1
hosszabbpalyazatok	1	1
hatarideje	2	2
helyezettet	1	1
masodikat	1	1
lapunkra	1	1
harmadikat	1	1
palyamunkajat	1	1
hirekizetbegovic	1	1
bosnianpresident	1	1
alija	1	1
izetbegovic	2	2
gorazde	1	1
timesince	1	1
retake	1	1
notand	1	1
haveexpelled	1	1
ofbosnia	1	1
liberate	1	1
thespeech	1	1
muslimsover	1	1
thedayton	1	1
refugeesto	1	1
mooreupdate	1	1
oleksy	4	2
6may	1	1
theinvestigation	1	1
ministerjozef	2	2
slawomir	1	1
befound	1	1
ofa	1	1
ministerleszek	1	1
rejectedall	1	1
formerpresident	1	1
dagmar	2	2
mroziewiczslovak	2	2
signedthe	1	1
hornin	1	1
theslovak	1	1
submittedto	1	1
thefinal	1	1
mayquoted	1	1
stepsbefore	1	1
financeministry	1	1
willamount	1	1
on7	1	1
standby	1	1
theministry	1	1
bemitigated	1	1
wasa	1	1
hasstill	1	1
szilagyicroatian	1	1
activist	2	1
mouthpiece	1	1
croatiandemocratic	1	1
zvonimircicak	1	1
thecroatian	1	1
cicakwas	1	1
croatiannationalist	1	1
vjesnik	1	1
anongoing	1	1
sitosucicromanian	1	1
theruling	1	1
bureaucratichurdles	1	1
registering	4	2
junelocal	1	1
representativeof	1	1
haveillegally	1	1
themfrom	1	1
intimidation	5	4
ofcandidates	1	1
bbcrejected	1	1
thatit	1	1
meddling	2	2
yeltsinannounced	1	1
andcriticized	1	1
theywould	1	1
toldkorzhakov	1	1
suchstatements	1	1
courtjustices	1	1
secretive	1	1
yeltsinhas	1	1
outfollowing	1	1
russiancitizen	1	1
spying	1	1
aleksandrzdanovich	1	1
unnamed	3	2
apprehended	1	1
radiocontact	1	1
confessed	1	1
andrevealed	1	1
thebritish	1	1
krylovsubsequently	1	1
andexpel	1	1
activitiesincompatible	1	1
hasdenied	1	1
minster	1	1
rifkindlater	1	1
parrishthis	2	2
kuldetese	1	1
bakonyi	1	1
zsuzsa	1	1
othmar	5	1
ferences	2	1
szerzetesseliden	1	1
tolti	2	2
egeszsegben	1	1
kifejezessel	2	2
azegyhaz	2	2
hitmagyarazatait	1	1
hallgathatjuk	1	1
ferencestemplom	1	1
misein	1	1
neha	3	3
otthallottam	1	1
kezenfekvo	1	1
magyarazatot	3	2
hitproblemaira	1	1
nala	2	2
keressek	1	1
vilagossagaval	1	1
joisten	1	1
csakcsuszomaszokkal	1	1
foldet	1	1
teremtettvolna	1	1
teremtett	1	1
egbe	1	1
lenyt	1	1
hittelkapcsolatban	1	1
tanultam	2	1
bortonben	4	4
foldi	2	2
mindjobban	1	1
orokkevalosag	1	1
fenyebennezi	1	1
legtisztabban	1	1
eselrendezni	1	1
vallasos	1	1
istentolbelenkontott	1	1
gyarapitanunk	1	1
hitemetosszhangba	1	1
egyhazam	1	1
tevedhetetlen	1	1
kiragad	1	1
tevutakra	1	1
sodorja	1	1
tudosokhoz	1	1
korleveleben	1	1
hogysoha	1	1
egymashoz	2	2
kiegesziti	1	1
ahit	1	1
szenthagyomanyokra	1	1
szentirasra	1	1
szavunk	1	1
gyokeret	1	1
verni	3	3
lezullott	1	1
korunkban	1	1
alevegoben	1	1
onzo	2	1
lelkulettel	1	1
artani	1	1
hajlamosabb	1	1
mintmegbocsajtani	1	1
jutottunk	1	1
rohan	1	1
apusztulas	1	1
sodrasbol	1	1
kiszakadnia	1	1
remenykedem	1	1
felelmeben	1	1
rajon	1	1
tevedesere	1	1
kijelolt	2	2
felismerjuk	1	1
hitnel	1	1
esnek	2	2
istennekterve	1	1
mondhat	1	1
azember	2	1
eljuthat	1	1
deru	1	1
lehetneezt	1	1
atvinni	1	1
folemelje	1	1
ertekeire	1	1
felismerje	1	1
amelyikigazan	1	1
tisztan	1	1
nepenek	1	1
latnia	1	1
hitnelkul	1	1
vasarnapot	1	1
rohanasban	1	1
korulkell	1	1
bantottam	1	1
embercsak	1	1
vonatra	2	1
amelyikelott	1	1
vigyazok	1	1
mozdony	2	1
egyetlenegy	1	1
jora	1	1
istenjot	1	1
megtartom	1	1
jezusmegvalto	1	1
megmutassa	1	1
esmozdonyunk	1	1
magunktol	1	1
egyhelyben	1	1
vagyvisszafele	1	1
sikerulni	1	1
gonosz	3	1
sugaroznak	1	1
organizmus	1	1
kezemmel	1	1
masikra	3	2
artok	1	1
lettem	2	2
masiknak	1	1
istewn	1	1
nelkulaz	1	1
onzes	2	2
peldat	2	2
osszetevesztik	1	1
vallasgyakorlasat	1	1
vallasossag	1	1
orok	3	3
torvenyhezragaszkodo	1	1
vallasgyakorlat	1	1
joszandeku	1	1
magyarazatokat	1	1
legtobbennem	1	1
elmeletive	1	1
enmondom	1	1
oriasikulonbseg	1	1
edesanyam	1	1
pontosanmeg	1	1
valaszolni	1	1
lelke	2	2
fogalmazni	1	1
igazsagait	1	1
aldozatos	1	1
envelemenyem	1	1
latni	5	3
istent	1	1
taizei	1	1
obennuk	1	1
megmutassuk	1	1
epulni	1	1
elanyagiasodott	1	1
igaziertekekre	1	1
boldogsaghoz	1	1
szeretet	2	1
gyonyornem	1	1
boldogsag	1	1
tudnom	1	1
szenvedes	1	1
lehetekertekes	1	1
nagyjaink	1	1
masztak	1	1
hernyo	1	1
szeretetteljes	1	1
ugyanelegge	1	1
nelenne	1	1
vilagszinvonalat	1	1
milyennegativ	1	1
hazaszeretetetpejorativ	1	1
izzel	1	1
egeszsegesen	1	1
ontudatos	1	1
egyen	1	1
tudnek	1	1
nyomozniezer	1	1
oseim	1	1
genekbenbenne	1	1
szereztunk	1	1
gyerek	5	3
szerettem	4	2
beleszuletik	1	1
barataim	1	1
figyeltem	1	1
azelet	1	1
megtenultam	1	1
jelentmagyarnak	1	1
cserelnek	1	1
senk	1	1
erzikmagukat	1	1
termeszetellenes	1	1
korszakvaltas	1	1
eroszakkaltudott	1	1
gyengebbet	1	1
civilizacionk	1	1
eroszakra	1	1
egyeneknek	1	1
szerelni	1	1
csakido	1	1
tokeuralom	1	1
abankuralom	1	1
ahhozszegeny	1	1
butava	1	1
gazdagorszagnak	1	1
kolcsonre	1	1
szoruljon	1	1
evigfizesse	1	1
retegnek	2	2
mindene	1	1
joindulatu	1	1
haradobbennenek	1	1
igazsagra	1	1
dolgoznank	1	1
akaratot	1	1
kozvetitenikotelessege	1	1
szolok	1	1
ohmar	1	1
szolhatok	1	1
lephetek	1	1
partba	2	2
egyhezsem	1	1
kothetem	1	1
tanacsot	1	1
vanlegkozelebb	1	1
kotelessegem	1	1
ahitnek	1	1
fenyeben	1	1
nezi	1	1
tanultakis	1	1
hivatasa	1	1
kuldetesunket	1	1
kisebbek	1	1
utkozopont	1	1
teljesitettuk	1	1
barsokszor	1	1
elvereztunk	1	1
athidalni	1	1
ellenteteket	1	1
jarnak	3	3
hahallanak	1	1
bunbano	1	1
havan	1	1
javulasi	1	1
homosexualis	1	1
homoszekualitasrol	1	1
terennem	1	1
viselkedesben	1	1
melegek	2	1
megfigyelesbol	1	1
olyanok	3	2
isakiknel	1	1
viselkedes	1	1
maskulonben	1	1
lennenekbisexualis	1	1
csaladjuk	1	1
gyerekuk	1	1
voltaztan	1	1
halfare	1	1
sucked	1	1
szleng	1	1
kezelnem	1	1
homoszekszualitast	1	1
migtisztelnem	1	1
igazsagosnak	1	1
tenyleghomoszekszualisnak	1	1
eletmod	2	1
dejobb	1	1
biralnam	1	1
homoszekszualis	2	1
tennem	1	1
ugyanarra	1	1
megertesenek	1	1
oktatasa	2	2
elbiralasa	1	1
ertekueletmod	1	1
heteroszexualis	1	1
egyentkell	1	1
elitelni	1	1
elfogad	1	1
perverzitast	1	1
kisgyerek	2	1
felelosse	1	1
turhatja	1	1
aberranciajat	1	1
aszulo	1	1
folmentett	1	1
vadlottata	1	1
azonbana	1	1
onkentelenul	1	1
vilagonmegtalalhato	1	1
antiszemitizmusra	1	1
ciganyellenessegre	1	1
kivalto	2	2
torvenyeket	2	2
nak	1	1
eb	1	1
biztositja	1	1
szolas	2	2
szabadsagat	1	1
elobbemlitett	1	1
jogokat	4	3
semmisse	1	1
tapasztalatabol	1	1
amelyeketsemmilyen	1	1
embertol	2	2
nagyforgalmu	1	1
elottem	1	1
bandukolt	1	1
rosszuloltozott	1	1
ciganyasszony	1	1
purde	1	1
naranccsal	1	1
tomtek	1	1
gyumolcs	1	1
hejat	1	1
jardara	1	1
udvariasan	1	1
megszolitottamaz	1	1
asszonyt	1	1
ralepve	1	1
ciganyno	1	1
utaltam	1	1
alegelemibb	1	1
tisztasagi	1	1
ugyanigyutalkoztam	1	1
allampolgaron	1	1
csikket	1	1
felkarnyujtasnyira	1	1
szemetlada	1	1
hivatkozhatoka	1	1
ketegyhazi	1	1
falu	4	3
lakoi	3	3
eluztek	1	1
melyekbolmeg	1	1
elmondhatnek	1	1
felduhito	1	1
birosagelott	1	1
fajgyuloletet	1	1
arpadaltal	1	1
megalkotta	1	1
jobbanfogjak	1	1
elvezni	1	1
szolasszabadsag	5	4
eraban	1	1
irni	1	1
szovjetmodszerekkel	1	1
normat	1	1
soroljam	1	1
javaslatom	1	1
viselkedjenek	1	1
lehessenellenuk	1	1
feltamadas	1	1
unnepenek	1	1
eloestejen	2	2
miis	1	1
terdre	3	2
hullott	1	1
valasztottal	1	1
arctalan	1	1
szavamat	1	1
szozatom	1	1
huvos	1	1
intezik	1	1
vidd	1	1
vasarra	1	1
puskas	1	1
villank	1	1
svajci	3	3
bankbeteterted	1	1
teged	1	1
kihalt	1	1
ehenhalt	1	1
szokesed	1	1
merre	1	1
tuntet	1	1
masrol	1	1
maskent	1	1
riaszt	1	1
eltakar	1	1
megszokni	1	1
veteranbolsevikhoz	1	1
porobalta	1	1
partelnokmegkerdojelezheto	1	1
stilusban	2	2
kolcsy	1	1
ferenccel	1	1
valorokonsagara	1	1
szerzojenek	1	1
rokonsagrol	1	1
gondolkodasu	1	1
szarmazasasemmifele	1	1
szolgalhat	1	1
eletszereploit	1	1
tetteik	1	1
allitas	1	1
ahimnusz	1	1
szerojenek	1	1
ezerszamra	1	1
elhetnek	1	1
leszarmazottai	1	1
ezrednyi	1	1
hordozzak	1	1
osuk	1	1
foldrajzilagazonos	1	1
haladvanehany	1	1
bizonyosan	1	1
talalhato	4	3
leszarmazottjanak	1	1
tekintheti	1	1
politikusanak	1	1
ezegyaltalan	1	1
ferencnemzeti	1	1
alapelvu	1	1
szabadelvusegenek	1	1
osszehasonlitasa	1	1
napjainkmagyarorszagi	1	1
liberalizmusaval	1	1
svedszocialdemokraciat	1	1
hasonlitanank	1	1
sztalini	1	1
kommunizmushoz	1	1
megtestesuloertekek	1	1
mucsai	1	1
szelsosegesennacionalistanak	1	1
elvetendo	1	1
ferenchazaszeretete	1	1
osszeegyeztethetetlen	3	3
akereszteny	1	1
bunossegenek	1	1
jelkepeink	1	1
felmagasztalasaval	1	1
idegenerdekek	1	1
kioljek	1	1
erzest	2	2
ellensegei	1	1
tetteikkel	1	1
nagyjaira	1	1
hivatkozasra	1	1
semmifeleerkolcsi	1	1
alapjuk	1	1
szolgalataban	3	3
penzvilagnak	1	1
alliberalisnezeteket	1	1
hangoztato	1	1
haideologiai	1	1
gyokereit	1	1
tajakon	1	1
tanitottak	1	1
egyetlentokeletes	1	1
szigoraval	3	3
lesujtottak	1	1
aleltan	1	1
allamformank	1	1
letezoszocializmus	1	1
ellenfellepni	1	1
vartak	1	1
mindenkitol	1	1
alankadatlan	1	1
eberseget	1	1
helytartoink	1	1
parlamentaris	1	1
igertek	1	1
varakozassal	1	1
neztunk	1	1
demokraciatorveny	1	1
gyulekezesi	4	2
esszolasszabadsagot	2	1
fuggetlennek	1	1
termeszetenel	1	1
fogvaellenzekinek	1	1
nevezo	2	2
churchill	1	1
tanitotta	1	1
aparlamentaris	1	1
jobbatmeg	1	1
csakhamar	1	1
nemellenzeki	1	1
politikusai	3	3
letformanakkialtottak	1	1
amasfajta	1	1
massagnak	1	1
szigorarol	1	1
garral	1	1
beharangozott	1	1
szabadsagjogok	1	1
vagyhozzaferhetetlenne	1	1
egyenloseg	1	1
ugyvedekszolgaltatasai	1	1
halando	1	1
atorveny	1	1
malmai	1	1
panaszosigazahoz	1	1
elevult	1	1
piaccal	1	1
kozelebe	1	1
odabent	1	1
helyfoglalt	1	1
vallalkozashoz	1	1
munkanelkulieknek	1	1
kapnak	2	2
allamtol	2	2
egymilliardba	1	1
ennyiertlehet	1	1
radiofrekvenciahoz	1	1
vagyteleviziocsatornahoz	1	1
tomerdek	1	1
penzhiannyal	1	1
dologgal	2	2
kenyerrel	1	1
buntetotorvenykonyvrol	1	1
szigoru	5	4
kepviselojebol	1	1
igennelszavazott	1	1
harman	1	1
timar	4	3
csontos	1	1
jelenlevokepviseloje	1	1
nemetmert	1	1
jegyezzukmeg	1	1
dogei	2	2
morvai	2	2
nemes	4	3
pancza	1	1
sandorffy	1	1
gondolatszabadsag	1	1
buszken	2	2
racs	1	1
tucat	3	2
emberjogi	2	2
harcol	1	1
ajogaiert	1	1
fogvatartasanak	1	1
mostoha	1	1
korulmenyei	2	2
kormanybucsuztato	2	1
akkorazt	1	1
amennyita	1	1
ajelzojet	1	1
kikre	2	1
megallapitasara	1	1
masnap	4	3
hiszteriaes	1	1
nagymagyarjai	1	1
azzak	1	1
vadoltatorgyan	1	1
ellenfeleit	2	2
akasztofavales	1	1
kotellel	2	2
elballagott	1	1
atv	1	1
nemkisebb	1	1
muveszi	2	2
stilfordulattal	1	1
partjanak	6	5
stiluselemzest	1	1
megjegyzesbol	1	1
osztalyokszohasznalata	1	1
elmondta	1	1
mersekeltpolgari	1	1
cselekvessel	1	1
handabandazassal	1	1
ajanl	1	1
aztazonban	1	1
arulta	1	1
leveltaros	1	1
uszitason	1	1
nemkonkret	1	1
amelyekbolnagyobb	1	1
tomegben	2	1
idezetet	2	2
gyuloletkeltesre	1	1
megvetes	1	1
kifejezesetviszont	1	1
polgarhaboru	1	1
megemlekezesmarcius	1	1
hogyigen	1	1
nyomdokaiba	1	1
egynloek	1	1
szemem	1	1
masikugyszinten	1	1
hozzatette	2	2
fogreszt	1	1
dogkeselyunek	1	1
logikai	1	1
szalto	1	1
mortalet	1	1
porond	1	1
poraban	1	1
mivelhogy	1	1
fogadalmat	1	1
csakugy	1	1
tarthatja	1	1
felszolalo	2	2
szovegetszorol	1	1
megismeri	1	1
fenykoraban	1	1
mentteljesen	1	1
megtamadtatas	1	1
vegyenek	4	4
vitanyinak	1	1
zoltanhazelnok	1	1
moderalja	1	1
buntetoeljarassal	1	1
fenyegetozes	1	1
nemillik	1	1
szolasra	1	1
esintellektualis	1	1
ahalal	1	1
olvassa	4	4
azujsagokban	1	1
nezze	1	1
majdkisse	1	1
duzzogva	1	1
meltatlankodva	1	1
akarunkegy	1	1
milyenben	1	1
kenyszeriti	1	1
onoket	1	1
vonatkozika	1	1
erintkezesen	1	1
tulmegszakitja	1	1
avatott	1	1
lelekgyogyaszokszerint	1	1
szeretlek	1	1
reakcioparlamenti	1	1
nyugdijasokatnyomorba	1	1
magyartermofoldet	1	1
korrupcio	8	5
teljeshianya	1	1
jellemzi	1	1
valszolta	1	1
jozsefkepviselotarsunk	1	1
gondolatot	1	1
megrazo	1	1
vallomasban	1	1
tarta	1	1
anyilvanossag	2	2
egykozertheto	1	1
beszedben	1	1
gondolatokat	2	2
kartevokrol	1	1
esdogkeselyokrol	1	1
orszagtolvajok	1	1
legerzekenyebb	1	1
csodalkozhatunk	1	1
tolvajai	1	1
gyulat	3	3
erkolcsinihilizmusrol	1	1
hozzamagyarorszag	1	1
tekintelyenek	1	1
bizalmas	2	2
megbocsato	1	1
privatizaltael	1	1
dollarralegyetlen	1	1
miatta	1	1
akkora	5	5
nagysagatallamtitokkent	1	1
legnagyobbmertekben	1	1
gyulaek	1	1
jelzore	1	1
milyensertodekenyek	1	1
aggodnak	1	1
nagybulik	1	1
szovetsegeseikkel	1	1
vagyonukvan	1	1
keszulnek	2	2
atorvenytelensegek	1	1
sajatmaganrendorseget	1	1
felallitani	1	1
engedelyezte	1	1
harcolo	2	2
alakulatok	2	2
folyamatoselesloveszetet	1	1
torvenyesseglatszatat	1	1
gondolt	1	1
felfedesetol	1	1
sziami	1	1
ikrek	2	1
tevekenyseguk	1	1
rombolo	2	2
nemzetieskedo	1	1
retorika	2	2
baloldaliaskodo	1	1
adogkeselyu	1	1
fereg	1	1
asziami	1	1
kikozositessel	1	1
elmes	1	1
szorakozas	1	1
vezettemuneppartnak	1	1
engedelyeztek	1	1
torvenytelenul	1	1
frakciokent	1	1
kriptobvolsevik	1	1
mukodesenekcelja	1	1
egyeduralmanak	1	1
kozulvalaszthat	1	1
frakciobejegyzeset	1	1
orbanek	1	1
szaboivanek	1	1
bejegyzese	1	1
orsegi	1	1
napok	2	2
rendezvenyein	1	1
tucatkulfoldi	1	1
hatarszeli	1	1
faluvendegszereto	1	1
eleinte	2	2
meghivott	2	2
enekkarok	1	1
folkloregyuttes	1	1
derekorsegieknek	1	1
falujukban	1	1
ciganyok	5	2
meggyulik	1	1
bajuk	1	1
polgarmesteruk	1	1
azonbanelmagyarazta	1	1
eloitelettelviseltetniuk	1	1
belatva	1	1
megnyugodtak	1	1
toluk	2	2
sajnaltak	1	1
szivesvendeglatas	1	1
egyiktarsulat	1	1
ambar	1	1
helybeliek	2	2
semigen	1	1
romacsoport	1	1
fellepeseit	1	1
miret	2	2
tarkitjak	2	2
idonkentmeglehetosen	1	1
musoron	1	1
viharos	1	1
szerelmi	1	1
kalandjaikcsaladi	1	1
utojatekai	1	1
zajlottak	1	1
tavozasuk	1	1
alfoldi	3	3
nepmuveszekszallasaikrol	1	1
magukkal	2	2
vittek	2	2
torulkozoket	1	1
csuf	3	2
eloitelet	1	1
ideromaegyuttes	1	1
vendegsegbe	1	1
emberoltonbelul	1	1
szemelveny	1	1
sutphen	1	1
joskonyvebol	1	1
fiu	8	4
apjaval	1	1
megallt	2	2
lebilincseltek	1	1
pillanatramasfele	1	1
leakasztotta	1	1
bemaszotta	1	1
korlat	1	1
ketrec	1	1
oroszlan	2	1
tatotta	1	1
hogybekapja	1	1
pillanatbanvisszarantotta	1	1
leharapta	1	1
azesetrol	1	1
kerdessel	3	3
egyetemben	2	2
megkerdezteaz	1	1
szalagcimmel	1	1
naciellopja	1	1
afrikai	1	1
bevandorlo	1	1
hatalombitorlok	1	1
fejtetore	1	1
hierarchiasorrendje	1	1
plutokratak	1	1
liberalfasizmus	1	1
sorrend	2	2
kuldte	1	1
vezetoknek	1	1
feloras	1	1
tajekoztato	1	1
parlamentnek	3	3
onkenyuralom	1	1
torvenyen	1	1
fasizmusaban	1	1
rablasbol	1	1
kiveszik	2	2
kussol	1	1
elfogadja	1	1
csalodottan	1	1
vetodott	2	2
fenntartasuk	1	1
bunko	6	3
okrok	1	1
altalanossagokban	1	1
kimerulo	1	1
rovidseget	1	1
kormanyfoi	2	2
tudhato	1	1
forr	1	1
kibuggyan	1	1
belole	4	4
ugyanazok	5	4
barmok	1	1
csucstalalkozojan	1	1
szulethet	1	1
bovitesrol	1	1
taszarra	1	1
nepidemokratak	1	1
kreml	1	1
sajtoszolgalatanak	1	1
kedd	1	1
spiegel	2	2
atveheti	1	1
megszigoritjak	2	2
beutazasat	1	1
oroszorszagnak	1	1
demokratanak	2	2
haromhatvanas	1	1
pekek	1	1
juliusi	2	2
kenyeraremelesi	1	1
termelesi	1	1
honapokban	1	1
emelkedtek	2	2
3500	2	2
sutouzem	1	1
bo	3	3
nullszaldos	2	2
veszteseges	5	4
kiadast	1	1
gomboc	1	1
fagylalt	1	1
korkepebol	1	1
feherkenyer	1	1
atlepte	1	1
beremelesek	1	1
elkerulhetetlennek	1	1
peksegek	1	1
fontolgatjak	1	1
araik	1	1
elsejeig	2	2
vg	2	2
fontolora	2	2
adojanak	1	1
nevuk	1	1
elhallgatasat	1	1
afa	1	1
megszuntetese	4	3
okozna	1	1
megrendito	2	2
kereskedok	1	1
termekeik	1	1
illegalisan	3	3
megyejeben	1	1
dragul	1	1
alapproblemarol	1	1
suket	3	2
diszno	2	2
inflaciora	1	1
kiserlete	2	2
zsakutca	1	1
lepesen	1	1
leepitesevel	1	1
realbereket	1	1
fogyasztascsokkenteshez	1	1
inflacion	1	1
eszkozt	2	2
teremtette	1	1
konyvelestechnikai	1	1
zsonglorkodesenek	1	1
bogar	2	2
haromszorosan	1	1
kizsakmanyolt	1	1
realkeresetek	2	2
realkereso	1	1
felszer	1	1
rakso	1	1
osze	1	1
ezerrel	1	1
kifizethetetlen	1	1
csopp	1	1
esze	2	2
nyakig	1	1
kifosztasabol	1	1
mindenrol	1	1
segitsen	2	2
avosivadek	1	1
gyilkoljak	1	1
osszeomlott	2	2
romhalmaza	1	1
rohog	2	2
aranyu	1	1
elleneben	3	2
atdolgozasra	1	1
koncepciorol	1	1
vegszavazas	1	1
esemenyen	1	1
tervezetenek	3	3
frakcioelnokseg	3	2
egyeztetett	2	2
velemeny	1	1
elter	1	1
frakciotagok	1	1
kerjen	2	2
partvezetes	1	1
farizeus	1	1
modositocsomagot	1	1
kajan	1	1
megerdemeltek	1	1
fejukre	1	1
dolt	2	2
elvetette	1	1
koncepciojahoz	1	1
konfoderacio	1	1
alkotmanyba	2	2
bekeruljenek	1	1
elvarasok	1	1
vago	1	1
viszonyara	1	1
forumanak	1	1
garanciakkal	1	1
palkovics	1	1
munkastanacsok	1	1
korlatozna	1	1
egyesulesi	1	1
valsag	3	3
akarmelyik	1	1
visszakereset	1	1
alakulhasson	1	1
elzarkozik	1	1
tartozkodni	2	2
bizott	2	2
alkotmanykoncepciorol	1	1
atgondolja	1	1
retorzio	1	1
osszekotne	1	1
egeszsegugyben	1	1
igazaban	1	1
kaoszteremtesben	1	1
nyilvanul	1	1
egeszsegpolitikai	1	1
ertelmezhetetlen	1	1
indoka	1	1
megszunteteset	1	1
leepitendo	1	1
fejlesztettek	1	1
akadozik	1	1
agyszamcsokkentes	2	2
korenek	2	2
elbocsatasa	1	1
apolasi	1	1
mizsei	1	1
modositasaval	2	2
csorbul	1	1
lehetetlenne	4	4
kovetkezmenyeire	1	1
felrugva	1	1
feszult	3	3
helyzetert	1	1
elbocsatasaert	1	1
penzhiany	1	1
fuldoklo	1	1
nyakaba	1	1
varrja	1	1
pedagogusokra	1	1
orvosokra	1	1
mezony	2	2
szociologusok	1	1
kakai	1	1
madar	1	1
konzervaljak	1	1
szelekcio	1	1
kozepiskolaban	1	1
legszegenyebbek	2	1
felfalja	1	1
megkerdezett	1	1
szazalekanak	3	2
szuloje	1	1
novekedtek	2	2
oktatassal	1	1
boros	1	1
szociologus	2	1
becslesek	2	2
kitoresi	1	1
szelenyi	2	2
kozepretegek	2	2
demonstraciot	2	2
polgarmesterek	2	2
forrasokat	2	2
zudulnak	1	1
csodtorveny	1	1
nevez	1	1
komor	2	2
jovokep	1	1
ezekrol	2	2
ellenzeknek	2	2
feltetelezettnel	1	1
csinnbe	1	1
ugyanazokkal	3	3
uzemelo	1	1
emberevel	1	1
kabinetjenek	2	2
